Timestamp,Sum of Losses,Number of Nodes,Average Data Quantity,Training Data Size
2024-12-18T05:03:43Z,180145.083694,655,804.659574,264733
2024-12-18T05:06:45Z,180613.682425,657,802.212121,264730
2024-12-18T05:09:48Z,180740.262135,659,799.785498,264729
2024-12-18T05:12:52Z,180749.560821,661,797.343373,264718
2024-12-18T05:15:59Z,180507.121391,663,794.945946,264717
2024-12-18T05:19:03Z,180167.153489,665,792.562874,264716
2024-12-18T05:22:06Z,180332.017313,667,790.041791,264664
2024-12-18T05:24:36Z,180150.808649,669,787.678571,264660
2024-12-18T05:27:07Z,179812.476395,671,785.249258,264629
2024-12-18T05:30:12Z,180029.172688,673,782.923077,264628
2024-12-18T05:33:19Z,179945.363356,675,780.610619,264627
2024-12-18T05:36:00Z,178113.372769,677,771.735294,262390
2024-12-18T05:47:59Z,178258.956926,679,769.469208,262389
2024-12-18T05:49:56Z,178275.831819,681,767.198830,262382
2024-12-18T05:51:42Z,178815.834818,683,764.927114,262370
2024-12-18T06:04:02Z,179176.401154,685,762.697674,262368
2024-12-18T06:06:13Z,178810.192787,687,760.484058,262367
2024-12-18T06:08:25Z,178968.901627,689,758.283237,262366
2024-12-18T06:21:10Z,178903.403151,691,756.095101,262365
2024-12-18T06:23:46Z,178997.486299,693,753.919540,262364
2024-12-18T06:26:08Z,178479.294440,695,751.753582,262362
2024-12-18T06:28:31Z,177529.641334,697,749.585714,262355
2024-12-18T06:30:35Z,177687.206832,699,747.433048,262349
2024-12-18T06:32:37Z,177811.383727,701,745.301136,262346
2024-12-18T06:35:11Z,178208.132580,703,743.175637,262341
2024-12-18T06:37:56Z,178586.770346,705,741.073446,262340
2024-12-18T06:40:37Z,178683.973856,707,738.983099,262339
2024-12-18T06:43:17Z,178735.303085,709,736.898876,262336
2024-12-18T06:50:26Z,178735.728192,711,734.829132,262334
2024-12-18T06:52:33Z,178574.516386,713,732.768156,262331
2024-12-18T06:54:48Z,178435.777100,715,730.718663,262328
2024-12-18T06:57:12Z,178480.156488,717,728.602778,262297
2024-12-18T06:59:32Z,178678.505464,719,726.567867,262291
2024-12-18T07:01:54Z,178580.947725,721,724.544199,262285
2024-12-18T07:04:20Z,178058.881972,723,722.531680,262279
2024-12-18T07:06:38Z,178204.829329,725,720.543956,262278
2024-12-18T07:08:45Z,178542.660591,727,718.558904,262274
2024-12-18T07:20:59Z,178009.425151,729,716.573770,262266
2024-12-18T07:23:06Z,178150.261183,731,714.607629,262261
2024-12-18T07:25:13Z,179225.440044,733,712.657609,262258
2024-12-18T07:27:21Z,178920.697224,735,710.460705,262160
2024-12-18T07:29:29Z,178315.994061,737,708.537838,262159
2024-12-18T07:31:22Z,178204.736753,739,706.606469,262151
2024-12-18T07:33:17Z,178328.563122,741,704.642473,262127
2024-12-18T07:35:16Z,178559.251643,743,702.750670,262126
2024-12-18T07:37:40Z,178607.485479,745,700.863636,262123
2024-12-18T07:40:06Z,178876.196270,747,698.992000,262122
2024-12-18T07:42:13Z,178908.030054,749,697.117021,262116
2024-12-18T07:44:00Z,178103.505379,751,695.116711,262059
2024-12-18T07:45:47Z,178389.791306,753,693.267196,262055
2024-12-18T07:47:37Z,178947.883178,755,691.416887,262047
2024-12-18T07:49:33Z,178629.414828,757,689.576316,262039
2024-12-18T07:51:39Z,178497.120491,759,687.763780,262038
2024-12-18T07:53:45Z,178378.065608,761,685.952880,262034
2024-12-18T07:55:54Z,178357.434858,763,684.159269,262033
2024-12-18T08:28:03Z,178442.828676,765,682.372396,262031
2024-12-18T08:30:00Z,178498.066360,767,680.597403,262030
2024-12-18T08:31:57Z,178602.555585,769,678.831606,262029
2024-12-18T08:33:46Z,178268.139897,771,677.054264,262020
2024-12-18T08:35:34Z,178008.244207,773,675.301546,262017
2024-12-18T08:37:27Z,177906.068730,775,673.534704,262005
2024-12-18T08:44:59Z,177907.781549,777,671.802564,262003
2024-12-18T08:47:15Z,178038.996462,779,669.340153,261712
2024-12-18T08:49:36Z,177991.725794,781,667.625000,261709
2024-12-18T09:01:48Z,177752.534357,783,665.918575,261706
2024-12-18T09:03:49Z,174257.044420,785,654.309645,257798
2024-12-18T09:06:01Z,172754.712129,787,649.987342,256745
2024-12-18T09:13:22Z,173139.496385,789,648.310606,256731
2024-12-18T09:15:39Z,173008.611975,791,646.576826,256691
2024-12-18T09:17:55Z,172404.484256,793,644.824121,256640
2024-12-18T09:25:01Z,172108.129334,795,643.205514,256639
2024-12-18T09:27:02Z,172479.194077,797,641.595000,256638
2024-12-18T09:29:18Z,172282.079068,799,638.418953,256006
2024-12-18T09:41:21Z,171949.372868,801,636.820896,256002
2024-12-18T09:43:27Z,172019.997892,803,635.235732,256000
2024-12-18T09:45:40Z,172193.270781,805,633.311881,255858
2024-12-18T09:47:32Z,172257.532150,807,631.659259,255822
2024-12-18T09:49:36Z,171829.842040,809,630.086207,255815
2024-12-18T09:51:50Z,171692.620925,811,628.434889,255773
2024-12-18T10:33:55Z,172353.862389,813,626.887255,255770
2024-12-18T10:36:00Z,172537.680639,815,625.352078,255769
2024-12-18T10:37:49Z,158982.823565,817,579.612195,237641
2024-12-18T10:44:20Z,158321.318120,819,577.107056,237191
2024-12-18T10:45:51Z,158303.455089,821,575.686893,237183
2024-12-18T10:47:21Z,158432.641584,823,574.290557,237182
2024-12-18T10:48:52Z,158439.414484,825,572.900966,237181
2024-12-18T19:46:19Z,158544.191894,827,571.506024,237175
2024-12-18T19:48:05Z,158582.819658,829,570.127404,237173
2024-12-18T19:49:45Z,158504.665100,831,568.570743,237094
2024-12-18T20:16:24Z,158513.906130,833,566.811005,236927
2024-12-18T20:18:01Z,158019.339146,835,565.243437,236837
2024-12-18T20:19:44Z,157619.606558,837,563.883333,236831
2024-12-18T20:21:40Z,157703.749109,839,562.534442,236827
2024-12-18T21:23:55Z,157693.876761,841,561.187204,236821
2024-12-18T21:25:49Z,157950.298265,843,559.851064,236817
2024-12-18T21:27:35Z,158245.755641,845,558.497642,236803
2024-12-18T21:34:17Z,158436.203425,847,557.174118,236799
2024-12-18T21:36:03Z,158139.319295,849,555.842723,236789
2024-12-18T21:37:53Z,157796.388779,851,554.377049,236719
2024-12-18T21:39:39Z,157900.864545,853,553.079439,236718
2024-12-18T21:41:25Z,157435.322467,855,551.764569,236707
2024-12-18T21:43:32Z,154152.654014,857,552.651163,237640
2024-12-18T22:05:36Z,154660.923990,859,549.146172,236682
2024-12-18T22:07:43Z,155349.262849,861,547.865741,236678
2024-12-18T22:09:47Z,155420.002375,863,546.593533,236675
2024-12-18T22:16:24Z,155409.121074,865,545.267281,236646
2024-12-18T22:18:00Z,155483.888155,867,543.988506,236635
2024-12-18T22:19:36Z,155440.187339,869,542.736239,236633
